Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
87,Once Upon a Time in America,1984,3h 49m,"Crime, Drama",8.3,387303,A,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
88,Singin' in the Rain,1952,1h 43m,"Comedy, Musical, Romance",8.3,267640,G,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
89,Capharnaüm,2018,2h 6m,Drama,8.4,111700,A,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
90,Idi I Smotri,1985,2h 22m,"Drama, Thriller, War",8.3,105781,A,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
91,Requiem for a Dream,2000,1h 42m,Drama,8.3,922170,A,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
92,Toy Story 3,2010,1h 43m,"Animation, Adventure, Comedy",8.3,915113,U,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
93,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,"Action, Adventure, Fantasy",8.3,1146243,U,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
94,Jagten,2012,1h 55m,Drama,8.3,377417,7,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
95,Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama, Romance, Sci-Fi",8.3,1110856,UA,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
96,Ikiru,1952,2h 23m,Drama,8.3,92852,U,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
97,2001: A Space Odyssey,1968,2h 29m,"Adventure, Sci-Fi",8.3,739633,U,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
98,Reservoir Dogs,1992,1h 39m,"Crime, Thriller",8.3,1114397,15+,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
99,Lawrence of Arabia,1962,3h 47m,"Adventure, Biography, Drama",8.3,323171,U,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
100,The Apartment,1960,2h 5m,"Comedy, Drama, Romance",8.3,203056,U,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
101,Incendies,2010,2h 11m,"Drama, Mystery, War",8.3,216172,18,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
102,Scarface,1983,2h 50m,"Crime, Drama",8.3,943605,R,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction."
103,North by Northwest,1959,2h 16m,"Adventure, Drama, Mystery",8.3,355079,U,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
104,Double Indemnity,1944,1h 47m,"Crime, Drama, Film-Noir",8.3,171758,Approved,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
105,Citizen Kane,1941,1h 59m,"Drama, Mystery",8.3,475001,UA,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
106,M - Eine Stadt sucht einen Mörder,1931,1h 57m,"Crime, Mystery, Thriller",8.3,173793,Passed,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
107,Heat,1995,2h 50m,"Action, Crime, Drama",8.3,738987,A,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
108,Vertigo,1958,2h 8m,"Mystery, Romance, Thriller",8.3,437928,A,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
109,Full Metal Jacket,1987,1h 56m,"Drama, War",8.2,808838,UA,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
110,Up,2009,1h 36m,"Animation, Adventure, Comedy",8.3,1157597,U,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
111,Oppenheimer,2023,3h 0m,"Biography, Drama, History",8.3,824216,R,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
112,Le fabuleux destin d'Amélie Poulain,2001,2h 2m,"Comedy, Romance",8.3,808415,U,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
113,A Clockwork Orange,1971,2h 16m,"Crime, Sci-Fi",8.2,898943,A,Alex DeLarge and his droogs barbarize a decaying near-future.
114,To Kill a Mockingbird,1962,2h 9m,"Crime, Drama",8.3,339189,U,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
115,Jodaeiye Nader Az Simin,2011,2h 3m,Drama,8.3,265079,7,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
116,The Sting,1973,2h 9m,"Comedy, Crime, Drama",8.3,285716,U,Two grifters team up to pull off the ultimate con.
117,Die Hard,1988,2h 12m,"Action, Thriller",8.2,967513,A,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
118,Taare Zameen Par,2007,2h 42m,"Drama, Family",8.3,213016,U,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
119,Indiana Jones and the Last Crusade,1989,2h 7m,"Action, Adventure",8.2,826427,U,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
120,Metropolis,1927,2h 33m,"Drama, Sci-Fi",8.3,190879,Not Rated,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
121,Snatch,2000,1h 44m,"Comedy, Crime",8.2,930416,UA,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
122,1917,2019,1h 59m,"Action, Drama, War",8.2,706356,R,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
123,L.A. Confidential,1997,2h 18m,"Crime, Drama, Mystery",8.2,632174,A,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
124,Ladri Di Biciclette,1948,1h 29m,Drama,8.3,180556,U,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
125,Der Untergang,2004,2h 36m,"Biography, Drama, History",8.2,382677,UA,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
126,Taxi Driver,1976,1h 54m,"Crime, Drama",8.2,954538,A,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
127,Dangal,2016,2h 41m,"Action, Biography, Drama",8.3,219199,U,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
128,Hamilton,2020,2h 40m,"Biography, Drama, History",8.3,121935,12+,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
129,The Wolf of Wall Street,2013,3h 0m,"Biography, Comedy, Crime",8.2,1640726,A,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
130,Batman Begins,2005,2h 20m,"Action, Drama",8.2,1617466,UA,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
131,Per qualche dollaro in più,1965,2h 12m,"Drama, Western",8.2,282479,U,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
132,Green Book,2018,2h 10m,"Biography, Comedy, Drama",8.2,608707,UA,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
133,Some Like It Hot,1959,2h 1m,"Comedy, Music, Romance",8.2,289500,U,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
134,The Truman Show,1998,1h 43m,"Comedy, Drama",8.2,1243265,U,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
135,Judgment at Nuremberg,1961,2h 59m,"Drama, War",8.3,88433,A,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
136,The Kid,1921,1h 8m,"Comedy, Drama, Family",8.2,138563,Passed,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
137,The Father,2020,1h 37m,"Drama, Mystery",8.2,204531,UA,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
138,Shutter Island,2010,2h 18m,"Drama, Mystery, Thriller",8.2,1509832,A,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
139,All About Eve,1950,2h 18m,Drama,8.2,142027,Approved,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
140,There Will Be Blood,2007,2h 38m,Drama,8.2,657224,A,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
141,Jurassic Park,1993,2h 7m,"Action, Adventure, Sci-Fi",8.2,1096587,UA,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
142,Casino,1995,2h 58m,"Crime, Drama",8.2,579642,A,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
